Year,Ceremony,Award,Winner,Recipient,Song,Film,IMDBid
1953,26,Directing,1,Fred Zinnemann,,From Here to Eternity,tt0045793
1953,26,Film Editing,1,William Lyon,,From Here to Eternity,tt0045793
1953,26,Sound Recording,1,"Columbia Studio Sound Department, John P. Livadary, Sound Director",,From Here to Eternity,tt0045793
1953,26,Writing (Screenplay),1,Daniel Taradash,,From Here to Eternity,tt0045793
1953,26,Art Direction (Black and White),1,"Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Hugh Hunt",,Julius Caesar,
1953,26,Music (Music Score of a Dramatic or Comedy Picture),1,Bronislau Kaper,,Lili,
1953,26,Honorary Award,1,Pete Smith,,NA,NA
1953,26,Honorary Award,1,20th Century-Fox Film Corporation,,NA,NA
1953,26,Honorary Award,1,Joseph I. Breen,,NA,NA
1953,26,Honorary Award,1,Bell and Howell Company,,NA,NA
1953,26,Irving G. Thalberg Memorial Award,1,George Stevens,,NA,NA
1953,26,Actress,1,Audrey Hepburn,,Roman Holiday,
1953,26,Costume Design (Black and White),1,Edith Head,,Roman Holiday,
1953,26,Writing (Motion Picture Story),1,Dalton Trumbo,,Roman Holiday,
1953,26,Cinematography (Color),1,Loyal Griggs,,Shane,
1953,26,Actor,1,William Holden,,Stalag 17,
1953,26,Documentary (Short Subject),1,"Walt Disney, Producer",,The Alaskan Eskimo,
1953,26,Documentary (Feature),1,"Walt Disney, Producer",,The Living Desert,
1953,26,Short Subject (One Reel),1,"Johnny Green, Producer",,The Merry Wives of Windsor Overture,
1953,26,Art Direction (Color),1,"Art Direction: Lyle Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Paul S. Fox",,The Robe,
1953,26,Costume Design (Color),1,"Charles LeMaire, Emile Santiago",,The Robe,
1953,26,Special Effects,1,Paramount Studio,,The War of the Worlds,
1953,26,Writing (Story and Screenplay),1,"Charles Brackett, Walter Reisch, Richard Breen",,Titanic,tt0046435
1953,26,Short Subject (Cartoon),1,"Walt Disney, Producer",,"Toot, Whistle, Plunk and Boom",
1954,27,Art Direction (Color),1,Art Direction: John Meehan; Set Decoration: Emile Kuri,,"20,000 Leagues under the Sea",
1954,27,Special Effects,1,Walt Disney Studios,,"20,000 Leagues under the Sea",
1954,27,Short Subject (Two Reel),1,"Denis Sanders and Terry Sanders, Producers",,A Time Out of War,
1954,27,Writing (Motion Picture Story),1,Philip Yordan,,Broken Lance,
1954,27,Costume Design (Color),1,Sanzo Wada,,Gate of Hell,
1954,27,Honorary Award,1,Bausch & Lomb Optical Company,,NA,NA
1954,27,Honorary Award,1,Kemp R. Niver,,NA,NA
1954,27,Honorary Award,1,Greta Garbo,,NA,NA
1954,27,Honorary Award,1,Danny Kaye,,NA,NA
1954,27,Honorary Foreign Language Film Award,1,,,Gate of Hell,
1954,27,Actor,1,Marlon Brando,,On the Waterfront,tt0047296
1954,27,Actress in a Supporting Role,1,Eva Marie Saint,,On the Waterfront,tt0047296
1954,27,Art Direction (Black and White),1,Richard Day,,On the Waterfront,tt0047296
1954,27,Best Motion Picture,1,"Sam Spiegel, Producer",,On the Waterfront,tt0047296
1954,27,Cinematography (Black and White),1,Boris Kaufman,,On the Waterfront,tt0047296
1954,27,Directing,1,Elia Kazan,,On the Waterfront,tt0047296
1954,27,Film Editing,1,Gene Milford,,On the Waterfront,tt0047296
1954,27,Writing (Story and Screenplay),1,Budd Schulberg,,On the Waterfront,tt0047296
1954,27,Costume Design (Black and White),1,Edith Head,,Sabrina,
1954,27,Music (Scoring of a Musical Picture),1,"Adolph Deutsch, Saul Chaplin",,Seven Brides for Seven Brothers,
1954,27,Actor in a Supporting Role,1,Edmond O'Brien,,The Barefoot Contessa,
1954,27,Actress,1,Grace Kelly,,The Country Girl,
1954,27,Writing (Screenplay),1,George Seaton,,The Country Girl,
1954,27,Sound Recording,1,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director",,The Glenn Miller Story,
1954,27,Music (Music Score of a Dramatic or Comedy Picture),1,Dimitri Tiomkin,,The High and the Mighty,
1954,27,Honorary Award,1,Jon Whiteley,,The Little Kidnappers,
1954,27,Honorary Award,1,Vincent Winter,,The Little Kidnappers,
1954,27,Documentary (Feature),1,"Walt Disney, Producer",,The Vanishing Prairie,
1954,27,Short Subject (One Reel),1,"Robert Youngson, Producer",,This Mechanical Age,
1954,27,Cinematography (Color),1,Milton Krasner,,Three Coins in the Fountain,
1954,27,Music (Song),1,Music by Jule Styne; Lyrics by Sammy Cahn,"""Three Coins In The Fountain""",Three Coins in the Fountain,
1954,27,Documentary (Short Subject),1,World Wide Pictures and Morse Films,,Thursday's Children,
1954,27,Short Subject (Cartoon),1,"Stephen Bosustow, Producer",,When Magoo Flew,
1955,28,Actress in a Supporting Role,1,Jo Van Fleet,,East of Eden,
1955,28,Documentary (Feature),1,"Nancy Hamilton, Producer",,Helen Keller in Her Story,
1955,28,Costume Design (Black and White),1,Helen Rose,,I'll Cry Tomorrow,
1955,28,Writing (Story and Screenplay),1,"William Ludwig, Sonya Levien",,Interrupted Melody,
1955,28,Costume Design (Color),1,Charles LeMaire,,Love Is a Many-Splendored Thing,
1955,28,Music (Music Score of a Dramatic or Comedy Picture),1,Alfred Newman,,Love Is a Many-Splendored Thing,
1955,28,Music (Song),1,Music by Sammy Fain; Lyrics by Paul Francis Webster,"""Love Is A Many-Splendored Thing""",Love Is a Many-Splendored Thing,
1955,28,Writing (Motion Picture Story),1,Daniel Fuchs,,Love Me or Leave Me,
1955,28,Actor,1,Ernest Borgnine,,Marty,
1955,28,Best Motion Picture,1,"Harold Hecht, Producer",,Marty,
1955,28,Directing,1,Delbert Mann,,Marty,
1955,28,Writing (Screenplay),1,Paddy Chayefsky,,Marty,
1955,28,Documentary (Short Subject),1,"Walt Disney, Producer",,Men against the Arctic,
1955,28,Actor in a Supporting Role,1,Jack Lemmon,,Mister Roberts,
1955,28,Honorary Foreign Language Film Award,1,,,"Samurai, The Legend of Musashi",
1955,28,Music (Scoring of a Musical Picture),1,"Robert Russell Bennett, Jay Blackton, Adolph Deutsch",,Oklahoma!,
1955,28,Sound Recording,1,"Todd-AO Sound Department, Fred Hynes, Sound Director",,Oklahoma!,
1955,28,Art Direction (Color),1,"Art Direction: William Flannery, Jo Mielziner; Set Decoration: Robert Priestley",,Picnic,
1955,28,Film Editing,1,"Charles Nelson, William A. Lyon",,Picnic,
1955,28,Short Subject (Cartoon),1,"Edward Selzer, Producer",,Speedy Gonzales,
1955,28,Short Subject (One Reel),1,"Edmund Reek, Producer",,Survival City,
1955,28,Special Effects,1,Paramount Studio,,The Bridges at Toko-Ri,
1955,28,Short Subject (Two Reel),1,"Wilbur T. Blume, Producer",,The Face of Lincoln,
1955,28,Actress,1,Anna Magnani,,The Rose Tattoo,
1955,28,Art Direction (Black and White),1,"Art Direction: Hal Pereira, Tambi Larsen; Set Decoration: Sam Comer, Arthur Krams",,The Rose Tattoo,
1955,28,Cinematography (Black and White),1,James Wong Howe,,The Rose Tattoo,
1955,28,Cinematography (Color),1,Robert Burks,,To Catch a Thief,
1956,29,Actress,1,Ingrid Bergman,,Anastasia,
1956,29,Best Motion Picture,1,"Michael Todd, Producer",,Around the World in 80 Days,tt0048960
1956,29,Cinematography (Color),1,Lionel Lindon,,Around the World in 80 Days,tt0048960
1956,29,Film Editing,1,"Gene Ruggiero, Paul Weatherwax",,Around the World in 80 Days,tt0048960
1956,29,Music (Music Score of a Dramatic or Comedy Picture),1,Victor Young,,Around the World in 80 Days,tt0048960
1956,29,"Writing (Screenplay, Adapted)",1,"James Poe, John Farrow, S.J. Perelman",,Around the World in 80 Days,tt0048960
1956,29,Short Subject (One Reel),1,"Konstantin Kalser, Producer",,Crashing the Water Barrier,
1956,29,Directing,1,George Stevens,,Giant,
1956,29,Foreign Language Film,1,"Italy; Dino De Laurentiis and Carlo Ponti, Producers",,La Strada,
1956,29,Actor in a Supporting Role,1,Anthony Quinn,,Lust for Life,
1956,29,Short Subject (Cartoon),1,"Stephen Bosustow, Producer",,Mister Magoo's Puddle Jumper,
1956,29,Honorary Award,1,Eddie Cantor,,NA,NA
1956,29,Irving G. Thalberg Memorial Award,1,Buddy Adler,,NA,NA
1956,29,Jean Hersholt Humanitarian Award,1,Y. Frank Freeman,,NA,NA
1956,29,Art Direction (Black and White),1,"Art Direction: Cedric Gibbons, Malcolm F. Brown; Set Decoration: Edwin B. Willis, F. Keogh Gleason",,Somebody Up There Likes Me,
1956,29,Cinematography (Black and White),1,Joseph Ruttenberg,,Somebody Up There Likes Me,
1956,29,Short Subject (Two Reel),1,Romulus Films,,The Bespoke Overcoat,
1956,29,Writing (Motion Picture Story),1,Dalton Trumbo,,The Brave One,
1956,29,Actor,1,Yul Brynner,,The King and I,
1956,29,Art Direction (Color),1,"Art Direction: Lyle R. Wheeler, John DeCuir; Set Decoration: Walter M. Scott, Paul S. Fox",,The King and I,
1956,29,Costume Design (Color),1,Irene Sharaff,,The King and I,
1956,29,Music (Scoring of a Musical Picture),1,"Alfred Newman, Ken Darby",,The King and I,
1956,29,Sound Recording,1,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director",,The King and I,
1956,29,Music (Song),1,Music and Lyrics by Jay Livingston and Ray Evans,"""Whatever Will Be, Will Be (Que Sera, Sera)""",The Man Who Knew Too Much,
1956,29,"Writing (Screenplay, Original)",1,Albert Lamorisse,,The Red Balloon,
1956,29,Documentary (Feature),1,"Jacques-Yves Cousteau, Producer",,The Silent World,
1956,29,Costume Design (Black and White),1,Jean Louis,,The Solid Gold Cadillac,
1956,29,Special Effects,1,John Fulton,,The Ten Commandments,
1956,29,Documentary (Short Subject),1,"Louis Clyde Stoumen, Producer",,The True Story of the Civil War,
1956,29,Actress in a Supporting Role,1,Dorothy Malone,,Written on the Wind,
1957,30,Documentary (Feature),1,"Jerome Hill, Producer",,Albert Schweitzer,
1957,30,Short Subject (Cartoon),1,"Edward Selzer, Producer",,Birds Anonymous,
1957,30,"Writing (Story and Screenplay, Written Directly for the Screen)",1,George Wells,,Designing Woman,
1957,30,Costume Design,1,Orry-Kelly,,Les Girls,
1957,30,Honorary Award,1,Charles Brackett,,NA,NA
1957,30,Honorary Award,1,B.B. Kahane,,NA,NA
1957,30,Honorary Award,1,"Gilbert M. (""Broncho Billy"") Anderson",,NA,NA
1957,30,Honorary Award,1,The Society of Motion Picture and Television Engineers,,NA,NA
1957,30,Jean Hersholt Humanitarian Award,1,Samuel Goldwyn,,NA,NA
1957,30,Actor in a Supporting Role,1,Red Buttons,,Sayonara,
1957,30,Actress in a Supporting Role,1,Miyoshi Umeki,,Sayonara,
1957,30,Art Direction,1,Art Direction: Ted Haworth; Set Decoration: Robert Priestley,,Sayonara,
1957,30,Sound Recording,1,"Warner Brothers Studio Sound Department, George Groves, Sound Director",,Sayonara,
1957,30,Actor,1,Alec Guinness,,The Bridge on the River Kwai,tt0050212
1957,30,Best Motion Picture,1,"Sam Spiegel, Producer",,The Bridge on the River Kwai,tt0050212
1957,30,Cinematography,1,Jack Hildyard,,The Bridge on the River Kwai,tt0050212
1957,30,Directing,1,David Lean,,The Bridge on the River Kwai,tt0050212
1957,30,Film Editing,1,Peter Taylor,,The Bridge on the River Kwai,tt0050212
1957,30,Music (Scoring),1,Malcolm Arnold,,The Bridge on the River Kwai,tt0050212
1957,30,"Writing (Screenplay, Based on Material from Another Medium)",1,"Michael Wilson, Carl Foreman, Pierre Boulle",,The Bridge on the River Kwai,tt0050212
1957,30,Special Effects,1,Audible Effects by Walter Rossi,,The Enemy Below,
1957,30,Music (Song),1,Music by James Van Heusen; Lyrics by Sammy Cahn,"""All The Way""""All The Way""",The Joker Is Wild,
1957,30,Foreign Language Film,1,Italy,,The Nights of Cabiria,
1957,30,Actress,1,Joanne Woodward,,The Three Faces of Eve,
1957,30,Short Subject (Live Action),1,"Larry Lansburgh, Producer",,The Wetback Hound,
1958,31,Documentary (Short Subject),1,"Ben Sharpsteen, Producer",,Ama Girls,tt0051339
1958,31,Art Direction,1,"Art Direction: William A. Horning, Preston Ames; Set Decoration: Henry Grace, Keogh Gleason",,Gigi,tt0051658
1958,31,Best Motion Picture,1,"Arthur Freed, Producer",,Gigi,tt0051658
1958,31,Cinematography (Color),1,Joseph Ruttenberg,,Gigi,tt0051658
1958,31,Costume Design,1,Cecil Beaton,,Gigi,tt0051658
1958,31,Directing,1,Vincente Minnelli,,Gigi,tt0051658
1958,31,Film Editing,1,Adrienne Fazan,,Gigi,tt0051658
1958,31,Music (Scoring of a Musical Picture),1,Andre Previn,,Gigi,tt0051658
1958,31,Music (Song),1,Music by Frederick Loewe; Lyrics by Alan Jay Lerner,"""Gigi""",Gigi,tt0051658
1958,31,"Writing (Screenplay, Based on Material from Another Medium)",1,Alan Jay Lerner,,Gigi,tt0051658
1958,31,Short Subject (Live Action),1,"Walt Disney, Producer",,Grand Canyon,
1958,31,Actress,1,Susan Hayward,,I Want to Live!,
1958,31,Short Subject (Cartoon),1,"John W. Burton, Producer",,Knighty Knight Bugs,
1958,31,Foreign Language Film,1,France,,My Uncle,
1958,31,Honorary Award,1,Maurice Chevalier,,NA,NA
1958,31,Irving G. Thalberg Memorial Award,1,Jack L. Warner,,NA,NA
1958,31,Actor,1,David Niven,,Separate Tables,
1958,31,Actress in a Supporting Role,1,Wendy Hiller,,Separate Tables,
1958,31,Sound,1,"Todd-AO Sound Department, Fred Hynes, Sound Director",,South Pacific,
1958,31,Actor in a Supporting Role,1,Burl Ives,,The Big Country,
1958,31,Cinematography (Black and White),1,Sam Leavitt,,The Defiant Ones,
1958,31,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"Nedrick Young, Harold Jacob Smith",,The Defiant Ones,
1958,31,Music (Music Score of a Dramatic or Comedy Picture),1,Dimitri Tiomkin,,The Old Man and the Sea,
1958,31,Special Effects,1,Visual Effects by Tom Howard,,tom thumb,
1958,31,Documentary (Feature),1,"Ben Sharpsteen, Producer",,White Wilderness,
1959,32,Music (Song),1,Music by James Van Heusen; Lyrics by Sammy Cahn,"""High Hopes""",A Hole in the Head,
1959,32,Actor,1,Charlton Heston,,Ben-Hur,tt0052618
1959,32,Actor in a Supporting Role,1,Hugh Griffith,,Ben-Hur,tt0052618
1959,32,Art Direction (Color),1,"Art Direction: William A. Horning, Edward Carfagno; Set Decoration: Hugh Hunt",,Ben-Hur,tt0052618
1959,32,Best Motion Picture,1,"Sam Zimbalist, Producer",,Ben-Hur,tt0052618
1959,32,Cinematography (Color),1,Robert L. Surtees,,Ben-Hur,tt0052618
1959,32,Costume Design (Color),1,Elizabeth Haffenden,,Ben-Hur,tt0052618
1959,32,Directing,1,William Wyler,,Ben-Hur,tt0052618
1959,32,Film Editing,1,"Ralph E. Winters, John D. Dunning",,Ben-Hur,tt0052618
1959,32,Music (Music Score of a Dramatic or Comedy Picture),1,Miklos Rozsa,,Ben-Hur,tt0052618
1959,32,Sound,1,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",,Ben-Hur,tt0052618
1959,32,Special Effects,1,"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory",,Ben-Hur,tt0052618
1959,32,Foreign Language Film,1,France,,Black Orpheus,
1959,32,Documentary (Short Subject),1,"Bert Haanstra, Producer",,Glass,
1959,32,Short Subject (Cartoon),1,"John Hubley, Producer",,Moonbird,
1959,32,Honorary Award,1,Lee De Forest,,NA,NA
1959,32,Honorary Award,1,Buster Keaton,,NA,NA
1959,32,Jean Hersholt Humanitarian Award,1,Bob Hope,,NA,NA
1959,32,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"Story by Russell Rouse, Clarence Greene; Screenplay by Stanley Shapiro, Maurice Richlin",,Pillow Talk,
1959,32,Music (Scoring of a Musical Picture),1,"Andre Previn, Ken Darby",,Porgy and Bess,
1959,32,Actress,1,Simone Signoret,,Room at the Top,
1959,32,"Writing (Screenplay, Based on Material from Another Medium)",1,Neil Paterson,,Room at the Top,
1959,32,Documentary (Feature),1,"Bernhard Grzimek, Producer",,Serengeti Shall Not Die,
1959,32,Costume Design (Black and White),1,Orry-Kelly,,Some Like It Hot,
1959,32,Actress in a Supporting Role,1,Shelley Winters,,The Diary of Anne Frank,
1959,32,Art Direction (Black and White),1,"Art Direction: Lyle R. Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Stuart A. Reiss",,The Diary of Anne Frank,
1959,32,Cinematography (Black and White),1,William C. Mellor,,The Diary of Anne Frank,
1959,32,Short Subject (Live Action),1,"Jacques-Yves Cousteau, Producer",,The Golden Fish,
1960,33,Actress,1,Elizabeth Taylor,,Butterfield 8,
1960,33,Short Subject (Live Action),1,"Ezra R. Baker, Producer",,Day of the Painter,
1960,33,Actor,1,Burt Lancaster,,Elmer Gantry,
1960,33,Actress in a Supporting Role,1,Shirley Jones,,Elmer Gantry,
1960,33,"Writing (Screenplay, Based on Material from Another Medium)",1,Richard Brooks,,Elmer Gantry,
1960,33,Music (Music Score of a Dramatic or Comedy Picture),1,Ernest Gold,,Exodus,
1960,33,Documentary (Short Subject),1,"James Hill, Producer",,Giuseppina,
1960,33,Short Subject (Cartoon),1,"William L. Snyder, Producer",,Munro,
1960,33,Honorary Award,1,Gary Cooper,,NA,NA
1960,33,Honorary Award,1,Stan Laurel,,NA,NA
1960,33,Jean Hersholt Humanitarian Award,1,Sol Lesser,,NA,NA
1960,33,Music (Song),1,Music and Lyrics by Manos Hadjidakis,"""Never On Sunday""",Never on Sunday,
1960,33,Honorary Award,1,Hayley Mills,,Pollyanna,
1960,33,Music (Scoring of a Musical Picture),1,"Morris Stoloff, Harry Sukman",,Song without End (The Story of Franz Liszt),
1960,33,Cinematography (Black and White),1,Freddie Francis,,Sons and Lovers,
1960,33,Actor in a Supporting Role,1,Peter Ustinov,,Spartacus,t0054331
1960,33,Art Direction (Color),1,"Art Direction: Alexander Golitzen, Eric Orbom; Set Decoration: Russell A. Gausman, Julia Heron",,Spartacus,t0054331
1960,33,Cinematography (Color),1,Russell Metty,,Spartacus,t0054331
1960,33,Costume Design (Color),1,"Valles, Bill Thomas",,Spartacus,t0054331
1960,33,Sound,1,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",,The Alamo,
1960,33,Art Direction (Black and White),1,Art Direction: Alexander Trauner; Set Decoration: Edward G. Boyle,,The Apartment,tt0053604
1960,33,Best Motion Picture,1,"Billy Wilder, Producer",,The Apartment,tt0053604
1960,33,Directing,1,Billy Wilder,,The Apartment,tt0053604
1960,33,Film Editing,1,Daniel Mandell,,The Apartment,tt0053604
1960,33,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"Billy Wilder, I. A. L. Diamond",,The Apartment,tt0053604
1960,33,Costume Design (Black and White),1,"Edith Head, Edward Stevenson",,The Facts of Life,
1960,33,Documentary (Feature),1,"Larry Lansburgh, Producer",,The Horse with the Flying Tail,
1960,33,Special Effects,1,"Visual Effects by Gene Warren, Tim Baar",,The Time Machine,
1960,33,Foreign Language Film,1,Sweden,,The Virgin Spring,
1961,34,Honorary Award,1,William L. Hendricks,,A Force in Readiness,
1961,34,Music (Music Score of a Dramatic or Comedy Picture),1,Henry Mancini,,Breakfast at Tiffany's,
1961,34,Music (Song),1,Music by Henry Mancini; Lyrics by Johnny Mercer,"""Moon River""",Breakfast at Tiffany's,
1961,34,Short Subject (Cartoon),1,Zagreb Film,,Ersatz (The Substitute),
1961,34,Actor,1,Maximilian Schell,,Judgment at Nuremberg,
1961,34,"Writing (Screenplay, Based on Material from Another Medium)",1,Abby Mann,,Judgment at Nuremberg,
1961,34,Costume Design (Black and White),1,Piero Gherardi,,La Dolce Vita,
1961,34,Documentary (Feature),1,"Arthur Cohn and Rene Lafuite, Producers",,Le Ciel et la Boue (Sky Above and Mud Beneath),
1961,34,Honorary Award,1,Fred L. Metzler,,NA,NA
1961,34,Honorary Award,1,Jerome Robbins,,NA,NA
1961,34,Irving G. Thalberg Memorial Award,1,Stanley Kramer,,NA,NA
1961,34,Jean Hersholt Humanitarian Award,1,George Seaton,,NA,NA
1961,34,Documentary (Short Subject),1,"Frank P. Bibas, Producer",,Project Hope,
1961,34,Short Subject (Live Action),1,Templar Film Studios,,Seawards the Great Ships,
1961,34,"Writing (Story and Screenplay, Written Directly for the Screen)",1,William Inge,,Splendor in the Grass,
1961,34,Special Effects,1,Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham,,The Guns of Navarone,
1961,34,Art Direction (Black and White),1,Art Direction: Harry Horner; Set Decoration: Gene Callahan,,The Hustler,
1961,34,Cinematography (Black and White),1,Eugen Shuftan,,The Hustler,
1961,34,Foreign Language Film,1,Sweden,,Through a Glass Darkly,
1961,34,Actress,1,Sophia Loren,,Two Women,
1961,34,Actor in a Supporting Role,1,George Chakiris,,West Side Story,tt0055614
1961,34,Actress in a Supporting Role,1,Rita Moreno,,West Side Story,tt0055614
1961,34,Art Direction (Color),1,Art Direction: Boris Leven; Set Decoration: Victor A. Gangelin,,West Side Story,tt0055614
1961,34,Best Motion Picture,1,"Robert Wise, Producer",,West Side Story,tt0055614
1961,34,Cinematography (Color),1,Daniel L. Fapp,,West Side Story,tt0055614
1961,34,Costume Design (Color),1,Irene Sharaff,,West Side Story,tt0055614
1961,34,Directing,1,"Robert Wise, Jerome Robbins",,West Side Story,tt0055614
1961,34,Film Editing,1,Thomas Stanford,,West Side Story,tt0055614
1961,34,Music (Scoring of a Musical Picture),1,"Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal",,West Side Story,tt0055614
1961,34,Sound,1,"Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director",,West Side Story,tt0055614
1962,35,Documentary (Feature),1,"Louis Clyde Stoumen, Producer",,Black Fox,
1962,35,Music (Song),1,Music by Henry Mancini; Lyrics by Johnny Mercer,"""Days Of Wine And Roses""",Days of Wine and Roses,
1962,35,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"Ennio de Concini, Alfredo Giannetti, Pietro Germi",,Divorce--Italian Style,
1962,35,Documentary (Short Subject),1,"Jack Howells, Producer",,Dylan Thomas,
1962,35,Short Subject (Live Action),1,"Pierre Etaix and J.C. Carrière, Producers",,Heureux Anniversaire (Happy Anniversary),
1962,35,Art Direction (Color),1,"Art Direction: John Box, John Stoll; Set Decoration: Dario Simoni",,Lawrence of Arabia,tt0056172
1962,35,Best Picture,1,"Sam Spiegel, Producer",,Lawrence of Arabia,tt0056172
1962,35,Cinematography (Color),1,Fred A. Young,,Lawrence of Arabia,tt0056172
1962,35,Directing,1,David Lean,,Lawrence of Arabia,tt0056172
1962,35,Film Editing,1,Anne Coates,,Lawrence of Arabia,tt0056172
1962,35,"Music (Music Score, Substantially Original)",1,Maurice Jarre,,Lawrence of Arabia,tt0056172
1962,35,Sound,1,"Shepperton Studio Sound Department, John Cox, Sound Director",,Lawrence of Arabia,tt0056172
1962,35,"Music (Scoring of Music, Adaptation or Treatment)",1,Ray Heindorf,,Meredith Willson's The Music Man,
1962,35,Jean Hersholt Humanitarian Award,1,Steve Broidy,,NA,NA
1962,35,Foreign Language Film,1,France,,Sundays and Cybele,
1962,35,Actor in a Supporting Role,1,Ed Begley,,Sweet Bird of Youth,
1962,35,Short Subject (Cartoon),1,"John Hubley and Faith Hubley, Producers",,The Hole,
1962,35,Cinematography (Black and White),1,"Jean Bourgoin, Walter Wottitz, (Henri Persin)",,The Longest Day,
1962,35,Special Effects,1,Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont,,The Longest Day,
1962,35,Actress,1,Anne Bancroft,,The Miracle Worker,
1962,35,Actress in a Supporting Role,1,Patty Duke,,The Miracle Worker,
1962,35,Costume Design (Color),1,Mary Wills,,The Wonderful World of the Brothers Grimm,
1962,35,Actor,1,Gregory Peck,,To Kill a Mockingbird,
1962,35,Art Direction (Black and White),1,"Art Direction: Alexander Golitzen, Henry Bumstead; Set Decoration: Oliver Emert",,To Kill a Mockingbird,
1962,35,"Writing (Screenplay, Based on Material from Another Medium)",1,Horton Foote,,To Kill a Mockingbird,
1962,35,Costume Design (Black and White),1,Norma Koch,,What Ever Happened to Baby Jane?,
1963,36,Art Direction (Black and White),1,Gene Callahan,,America America,tt0056825
1963,36,Short Subject (Live Action),1,"Paul de Roubaix and Marcel Ichac, Producers",,An Occurrence at Owl Creek Bridge,
1963,36,Documentary (Short Subject),1,"Simon Schiffrin, Producer",,Chagall,
1963,36,Art Direction (Color),1,"Art Direction: John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga; Set Decoration: Walter M. Scott, Paul S. Fox, Ray Moyer",,Cleopatra,
1963,36,Cinematography (Color),1,Leon Shamroy,,Cleopatra,
1963,36,Costume Design (Color),1,"Irene Sharaff, Vittorio Nino Novarese, Renie",,Cleopatra,
1963,36,Special Effects,1,"Emil Kosa, Jr.",,Cleopatra,
1963,36,Costume Design (Black and White),1,Piero Gherardi,,Federico Fellini's 8-1/2,
1963,36,Foreign Language Film,1,Italy,,Federico Fellini's 8-1/2,
1963,36,Film Editing,1,Harold F. Kress,,How the West Was Won,
1963,36,Sound,1,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",,How the West Was Won,
1963,36,"Writing (Story and Screenplay, Written Directly for the Screen)",1,James R. Webb,,How the West Was Won,
1963,36,Actor in a Supporting Role,1,Melvyn Douglas,,Hud,
1963,36,Actress,1,Patricia Neal,,Hud,
1963,36,Cinematography (Black and White),1,James Wong Howe,,Hud,
1963,36,"Music (Scoring of Music, Adaptation or Treatment)",1,Andre Previn,,Irma La Douce,
1963,36,Sound Effects,1,Walter G. Elliott,,"It's a Mad, Mad, Mad, Mad World",
1963,36,Actor,1,Sidney Poitier,,Lilies of the Field,
1963,36,Irving G. Thalberg Memorial Award,1,Sam Spiegel,,NA,NA
1963,36,Music (Song),1,Music by James Van Heusen; Lyrics by Sammy Cahn,"""Call Me Irresponsible""",Papa's Delicate Condition,
1963,36,Documentary (Feature),1,"Robert Hughes, Producer",,Robert Frost: A Lover's Quarrel with the World,
1963,36,Short Subject (Cartoon),1,"Ernest Pintoff, Producer",,The Critic,
1963,36,Actress in a Supporting Role,1,Margaret Rutherford,,The V.I.P.s,
1963,36,Best Picture,1,"Tony Richardson, Producer",,Tom Jones,
1963,36,Directing,1,Tony Richardson,,Tom Jones,
1963,36,"Music (Music Score, Substantially Original)",1,John Addison,,Tom Jones,
1963,36,"Writing (Screenplay, Based on Material from Another Medium)",1,John Osborne,,Tom Jones,
1964,37,Honorary Award,1,William Tuttle,,7 Faces of Dr. Lao,
1964,37,"Writing (Screenplay, Based on Material from Another Medium)",1,Edward Anhalt,,Becket,
1964,37,Short Subject (Live Action),1,"Edward Schreiber, Producer",,Casals Conducts: 1964,
1964,37,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"Story by S. H. Barnett; Screenplay by Peter Stone, Frank Tarloff",,Father Goose,
1964,37,Sound Effects,1,Norman Wanstall,,Goldfinger,
1964,37,Documentary (Feature),1,"Jacques-Yves Cousteau, Producer",,Jacques-Yves Cousteau's World without Sun,
1964,37,Actress,1,Julie Andrews,,Mary Poppins,tt1392190
1964,37,Film Editing,1,Cotton Warburton,,Mary Poppins,tt1392190
1964,37,"Music (Music Score, Substantially Original)",1,"Richard M. Sherman, Robert B. Sherman",,Mary Poppins,tt1392190
1964,37,Music (Song),1,Music and Lyrics by Richard M. Sherman and Robert B. Sherman,"""Chim Chim Cher-ee""",Mary Poppins,tt1392190
