"Year","Ceremony","Award","Winner","Recipient","Song","Film","IMDBid.x","IMDBid.y","ItemYear","ItemRuntime"
"1955",28,"Documentary (Feature)",1,"Nancy Hamilton, Producer",NA,"Helen Keller in Her Story",NA,NA,NA,NA
"1955",28,"Documentary (Short Subject)",1,"Walt Disney, Producer",NA,"Men against the Arctic",NA,NA,NA,NA
"1955",28,"Honorary Foreign Language Film Award",1,NA,NA,"Samurai, The Legend of Musashi",NA,NA,NA,NA
"1956",29,"Short Subject (Cartoon)",1,"Stephen Bosustow, Producer",NA,"Mister Magoo's Puddle Jumper",NA,NA,NA,NA
"1957",30,"Foreign Language Film",1,"Italy",NA,"The Nights of Cabiria",NA,NA,NA,NA
"1958",31,"Foreign Language Film",1,"France",NA,"My Uncle",NA,NA,NA,NA
"1958",31,"Special Effects",1,"Visual Effects by Tom Howard",NA,"tom thumb",NA,NA,NA,NA
"1959",32,"Documentary (Short Subject)",1,"Bert Haanstra, Producer",NA,"Glass",NA,NA,NA,NA
"1959",32,"Documentary (Feature)",1,"Bernhard Grzimek, Producer",NA,"Serengeti Shall Not Die",NA,NA,NA,NA
"1960",33,"Actress",1,"Elizabeth Taylor",NA,"Butterfield 8",NA,NA,NA,NA
"1960",33,"Honorary Award",1,"Hayley Mills",NA,"Pollyanna",NA,NA,NA,NA
"1960",33,"Music (Scoring of a Musical Picture)",1,"Morris Stoloff, Harry Sukman",NA,"Song without End (The Story of Franz Liszt)",NA,NA,NA,NA
"1961",34,"Honorary Award",1,"William L. Hendricks",NA,"A Force in Readiness",NA,NA,NA,NA
"1961",34,"Short Subject (Cartoon)",1,"Zagreb Film",NA,"Ersatz (The Substitute)",NA,NA,NA,NA
"1961",34,"Costume Design (Black and White)",1,"Piero Gherardi",NA,"La Dolce Vita",NA,NA,NA,NA
"1961",34,"Documentary (Feature)",1,"Arthur Cohn and Rene Lafuite, Producers",NA,"Le Ciel et la Boue (Sky Above and Mud Beneath)",NA,NA,NA,NA
"1962",35,"Documentary (Feature)",1,"Louis Clyde Stoumen, Producer",NA,"Black Fox",NA,NA,NA,NA
"1962",35,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"Ennio de Concini, Alfredo Giannetti, Pietro Germi",NA,"Divorce--Italian Style",NA,NA,NA,NA
"1962",35,"Documentary (Short Subject)",1,"Jack Howells, Producer",NA,"Dylan Thomas",NA,NA,NA,NA
"1962",35,"Short Subject (Live Action)",1,"Pierre Etaix and J.C. Carrière, Producers",NA,"Heureux Anniversaire (Happy Anniversary)",NA,NA,NA,NA
"1962",35,"Music (Scoring of Music, Adaptation or Treatment)",1,"Ray Heindorf",NA,"Meredith Willson's The Music Man",NA,NA,NA,NA
"1962",35,"Foreign Language Film",1,"France",NA,"Sundays and Cybele",NA,NA,NA,NA
"1963",36,"Short Subject (Live Action)",1,"Paul de Roubaix and Marcel Ichac, Producers",NA,"An Occurrence at Owl Creek Bridge",NA,NA,NA,NA
"1963",36,"Costume Design (Black and White)",1,"Piero Gherardi",NA,"Federico Fellini's 8-1/2",NA,NA,NA,NA
"1963",36,"Foreign Language Film",1,"Italy",NA,"Federico Fellini's 8-1/2",NA,NA,NA,NA
"1963",36,"Music (Scoring of Music, Adaptation or Treatment)",1,"Andre Previn",NA,"Irma La Douce",NA,NA,NA,NA
"1963",36,"Sound Effects",1,"Walter G. Elliott",NA,"It's a Mad, Mad, Mad, Mad World",NA,NA,NA,NA
"1964",37,"Honorary Award",1,"William Tuttle",NA,"7 Faces of Dr. Lao",NA,NA,NA,NA
"1964",37,"Documentary (Feature)",1,"Jacques-Yves Cousteau, Producer",NA,"Jacques-Yves Cousteau's World without Sun",NA,NA,NA,NA
"1965",38,"Short Subject (Live Action)",1,"Claude Berri, Producer",NA,"The Chicken (Le Poulet)",NA,NA,NA,NA
"1965",38,"Short Subject (Cartoon)",1,"Chuck Jones and Les Goldman, Producers",NA,"The Dot and the Line",NA,NA,NA,NA
"1966",39,"Documentary (Short Subject)",1,"Edmond A. Levy, Producer",NA,"A Year toward Tomorrow",NA,NA,NA,NA
"1966",39,"Short Subject (Cartoon)",1,"John Hubley and Faith Hubley, Producers",NA,"Herb Alpert and the Tijuana Brass Double Feature",NA,NA,NA,NA
"1968",41,"Documentary (Feature)",1,"Bill McGaw, Producer",NA,"Journey into Self",NA,NA,NA,NA
"1968",41,"Honorary Award",1,"John Chambers",NA,"Planet of the Apes",NA,NA,NA,NA
"1969",42,"Documentary (Feature)",1,"Bernard Chevry, Producer",NA,"Arthur Rubinstein - The Love of Life",NA,NA,NA,NA
"1969",42,"Documentary (Short Subject)",1,"Denis Sanders and Robert M. Fresco, Producers",NA,"Czechoslovakia 1968",NA,NA,NA,NA
"1970",43,"Foreign Language Film",1,"Italy",NA,"Investigation of a Citizen above Suspicion",NA,NA,NA,NA
"1970",43,"Writing (Screenplay, Based on Material from Another Medium)",1,"Ring Lardner, Jr.",NA,"M*A*S*H",NA,NA,NA,NA
"1970",43,"Actress in a Supporting Role",1,"Sally Kellerman",NA,"MA*S*H",NA,NA,NA,NA
"1970",43,"Best Picture",1,"Ingo Preminger, Producer",NA,"MA*S*H",NA,NA,NA,NA
"1970",43,"Directing",1,"Robert Altman",NA,"MA*S*H",NA,NA,NA,NA
"1970",43,"Film Editing",1,"Danford B. Greene",NA,"MA*S*H",NA,NA,NA,NA
"1971",44,"Foreign Language Film",1,"Italy",NA,"The Garden of the Finzi Continis",NA,NA,NA,NA
"1972",45,"Special Achievement Award (Visual Effects)",1,"The Poseidon Adventure",NA,"L. B. Abbott, A. D. Flowers",NA,NA,NA,NA
"1972",45,"Short Subject (Live Action)",1,"Richard Barclay, Producer",NA,"Norman Rockwell's World...An American Dream",NA,NA,NA,NA
"1972",45,"Documentary (Short Subject)",1,"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers",NA,"This Tiny World",NA,NA,NA,NA
"1973",46,"Cinematography",1,"Sven Nykvist",NA,"Cries and Whispers",NA,NA,NA,NA
"1974",47,"Special Achievement Award (Visual Effects)",1,"Earthquake",NA,"Frank Brendel, Glen Robinson, Albert Whitlock",NA,NA,NA,NA
"1975",48,"Special Achievement Award (Visual Effects)",1,"The Hindenburg",NA,"Albert Whitlock, Glen Robinson",NA,NA,NA,NA
"1975",48,"Short Film (Animated)",1,"Bob Godfrey, Producer",NA,"Great",NA,NA,NA,NA
"1975",48,"Special Achievement Award (Sound Effects)",1,"The Hindenburg",NA,"Peter Berkos",NA,NA,NA,NA
"1975",48,"Documentary (Feature)",1,"F. R. Crawley, James Hager and Dale Hartleben, Producers",NA,"The Man Who Skied down Everest",NA,NA,NA,NA
"1976",49,"Special Achievement Award (Visual Effects)",1,"King Kong",NA,"Carlo Rambaldi, Glen Robinson, Frank Van der Veer",NA,NA,NA,NA
"1976",49,"Documentary (Feature)",1,"Barbara Kopple, Producer",NA,"Harlan County, U.S.A.",NA,NA,NA,NA
"1976",49,"Special Achievement Award (Visual Effects)",1,"Logan's Run",NA,"L. B. Abbott, Glen Robinson, Matthew Yuricich",NA,NA,NA,NA
"1977",50,"Special Achievement Award (Sound Effects Editing)",1,"Close Encounters of the Third Kind",NA,"Frank E. Warner",NA,NA,NA,NA
"1977",50,"Documentary (Feature)",1,"John Korty, Dan McCann and Warren L. Lockhart, Producers",NA,"Who Are the DeBolts? And Where Did They Get Nineteen Kids?",NA,NA,NA,NA
"1978",51,"Special Achievement Award (Visual Effects)",1,"Superman",NA,"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic",NA,NA,NA,NA
"1979",52,"Special Achievement Award (Sound Editing)",1,"The Black Stallion",NA,"Alan Splet",NA,NA,NA,NA
"1981",54,"Special Achievement Award (Sound Effects Editing)",1,"Raiders of the Lost Ark",NA,"Ben Burtt, Richard L. Anderson",NA,NA,NA,NA
"1981",54,"Art Direction",1,"Art Direction: Norman Reynolds, Leslie Dilley; Set Decoration: Michael Ford",NA,"Raiders of the Lost Ark",NA,NA,NA,NA
"1981",54,"Film Editing",1,"Michael Kahn",NA,"Raiders of the Lost Ark",NA,NA,NA,NA
"1981",54,"Sound",1,"Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman",NA,"Raiders of the Lost Ark",NA,NA,NA,NA
"1981",54,"Visual Effects",1,"Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston",NA,"Raiders of the Lost Ark",NA,NA,NA,NA
"1982",55,"Documentary (Feature)",1,"John Zaritsky, Producer",NA,"Just Another Missing Kid",NA,NA,NA,NA
"1982",55,"Music (Original Song Score and Its Adaptation -Or- Adaptation Score)",1,"Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini",NA,"Victor/Victoria",NA,NA,NA,NA
"1982",55,"Foreign Language Film",1,"Spain",NA,"Volver a Empezar ('To Begin Again')",NA,NA,NA,NA
"1983",56,"Art Direction",1,"Anna Asp",NA,"Fanny & Alexander",NA,NA,NA,NA
"1983",56,"Cinematography",1,"Sven Nykvist",NA,"Fanny & Alexander",NA,NA,NA,NA
"1983",56,"Costume Design",1,"Marik Vos",NA,"Fanny & Alexander",NA,NA,NA,NA
"1983",56,"Foreign Language Film",1,"Sweden",NA,"Fanny & Alexander",NA,NA,NA,NA
"1983",56,"Special Achievement Award (Visual Effects)",1,"Return of the Jedi",NA,"Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett",NA,NA,NA,NA
"1984",57,"Special Achievement Award (Sound Effects Editing)",1,"The River",NA,"Kay Rose",NA,NA,NA,NA
"1986",59,"Documentary (Short Subject)",1,"Vivienne Verdon-Roe, Producer",NA,"Women--for America, for the World",NA,NA,NA,NA
"1987",60,"Special Achievement Award (Sound Effects Editing)",1,"RoboCop",NA,"Stephen Flick, John Pospisil",NA,NA,NA,NA
"1987",60,"Documentary (Feature)",1,"Aviva Slesin, Producer",NA,"The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table",NA,NA,NA,NA
"1988",61,"Documentary (Feature)",1,"Marcel Ophuls, Producer",NA,"Hotel Terminus: The Life and Times of Klaus Barbie",NA,NA,NA,NA
"1990",63,"Special Achievement Award (Visual Effects)",1,"Total Recall",NA,"Eric Brevig, Rob Bottin, Tim McGovern, Alex Funke",NA,NA,NA,NA
"1990",63,"Actor in a Supporting Role",1,"Joe Pesci",NA,"Good Fellas",NA,NA,NA,NA
"1992",65,"Cinematography",1,"Philippe Rousselot",NA,"A River Runs through It",NA,NA,NA,NA
"1992",65,"Costume Design",1,"Eiko Ishioka",NA,"Bram Stoker's Dracula",NA,NA,NA,NA
"1992",65,"Makeup",1,"Greg Cannom, Michèle Burke, Matthew W. Mungle",NA,"Bram Stoker's Dracula",NA,NA,NA,NA
"1992",65,"Sound Effects Editing",1,"Tom C. McCarthy, David E. Stone",NA,"Bram Stoker's Dracula",NA,NA,NA,NA
"1993",66,"Short Film (Live Action)",1,"Pepe Danquart",NA,"Black Rider (Schwarzfahrer)",NA,NA,NA,NA
"1994",67,"Actress in a Supporting Role",1,"Dianne Wiest",NA,"Bullets over Broadway",NA,NA,NA,NA
"1995",68,"Music (Original Dramatic Score)",1,"Luis Enrique Bacalov",NA,"The Postman (Il Postino)",NA,NA,NA,NA
"1995",68,"Special Achievement Award",1,"John Lasseter",NA,"Toy Story",NA,NA,NA,NA
"1998",71,"Short Film (Live Action)",1,"Kim Magnusson, Anders Thomas Jensen",NA,"Election Night (Valgaften)",NA,NA,NA,NA
"1998",71,"Documentary (Short Subject)",1,"Keiko Ibi",NA,"The Personals: Improvisations on Romance in the Golden Years",NA,NA,NA,NA
"1999",72,"Foreign Language Film",1,"Spain",NA,"All about My Mother",NA,NA,NA,NA
"2000",73,"Makeup",1,"Rick Baker, Gail Ryan",NA,"Dr. Seuss' How the Grinch Stole Christmas",NA,NA,NA,NA
"2000",73,"Short Film (Live Action)",1,"Florian Gallenberger",NA,"Quiero Ser (I want to be...)",NA,NA,NA,NA
"2001",74,"Animated Feature Film",1,"Shrek",NA,"Aron Warner",NA,NA,NA,NA
"2001",74,"Short Film (Live Action)",1,"Ray McKinnon, Lisa Blount",NA,"the accountant",NA,NA,NA,NA
"2002",75,"Actor in a Supporting Role",1,"Chris Cooper",NA,"Adaptation",NA,NA,NA,NA
"2002",75,"Animated Feature Film",1,"Spirited Away",NA,"Hayao Miyazaki",NA,NA,NA,NA
"2002",75,"Short Film (Animated)",1,"Eric Armstrong",NA,"The ChubbChubbs!",NA,NA,NA,NA
"2002",75,"Short Film (Live Action)",1,"Martin Strange-Hansen, Mie Andreasen",NA,"This Charming Man (Der Er En Yndig Mand)",NA,NA,NA,NA
"2003",76,"Animated Feature Film",1,"Finding Nemo",NA,"Andrew Stanton",NA,NA,NA,NA
"2004",77,"Documentary (Feature)",1,"Ross Kauffman and Zana Briski",NA,"Born into Brothels",NA,NA,NA,NA
"2004",77,"Animated Feature Film",1,"The Incredibles",NA,"Brad Bird",NA,NA,NA,NA
"2004",77,"Makeup",1,"Valli O'Reilly and Bill Corso",NA,"Lemony Snicket's A Series of Unfortunate Events",NA,NA,NA,NA
"2005",78,"Animated Feature Film",1,"Wallace & Gromit in The Curse of the Were-Rabbit",NA,"Nick Park and Steve Box",NA,NA,NA,NA
"2006",79,"Animated Feature Film",1,"Happy Feet",NA,"George Miller",NA,NA,NA,NA
"2007",80,"Animated Feature Film",1,"Ratatouille",NA,"Brad Bird",NA,NA,NA,NA
"2007",80,"Actress in a Leading Role",1,"Marion Cotillard",NA,"La Vie en Rose",NA,NA,NA,NA
"2007",80,"Makeup",1,"Didier Lavergne and Jan Archibald",NA,"La Vie en Rose",NA,NA,NA,NA
"2007",80,"Short Film (Live Action)",1,"Philippe Pollet-Villard",NA,"Le Mozart des Pickpockets (The Mozart of Pickpockets)",NA,NA,NA,NA
"2007",80,"Short Film (Animated)",1,"Suzie Templeton and Hugh Welchman",NA,"Peter & the Wolf",NA,NA,NA,NA
"2007",80,"Art Direction",1,"Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo",NA,"Sweeney Todd The Demon Barber of Fleet Street",NA,NA,NA,NA
"2008",81,"Animated Feature Film",1,"WALL-E",NA,"Andrew Stanton",NA,NA,NA,NA
"2008",81,"Short Film (Animated)",1,"Kunio Kato",NA,"La Maison en Petits Cubes",NA,NA,NA,NA
"2008",81,"Short Film (Live Action)",1,"Jochen Alexander Freydank",NA,"Spielzeugland (Toyland)",NA,NA,NA,NA
"2009",82,"Animated Feature Film",1,"Up",NA,"Pete Docter",NA,NA,NA,NA
"2009",82,"Actress in a Supporting Role",1,"Mo'Nique",NA,"Precious: Based on the Novel 'Push' by Sapphire",NA,NA,NA,NA
"2009",82,"Writing (Adapted Screenplay)",1,"Screenplay by Geoffrey Fletcher",NA,"Precious: Based on the Novel 'Push' by Sapphire",NA,NA,NA,NA
"2010",83,"Animated Feature Film",1,"Toy Story 3",NA,"Lee Unkrich",NA,NA,NA,NA
"2011",84,"Animated Feature Film",1,"Rango",NA,"Gore Verbinski",NA,NA,NA,NA
"2012",85,"Animated Feature Film",1,"Brave",NA,"Mark Andrews and Brenda Chapman",NA,NA,NA,NA
"2013",86,"Documentary (Feature)",1,"Morgan Neville, Gil Friesen and Caitrin Rogers",NA,"20 Feet from Stardom",NA,NA,NA,NA
"2013",86,"Animated Feature Film",1,"Frozen",NA,"Chris Buck, Jennifer Lee and Peter Del Vecho",NA,NA,NA,NA
"2013",86,"Short Film (Animated)",1,"Laurent Witz and Alexandre Espigares",NA,"Mr. Hublot",NA,NA,NA,NA
"2014",87,"Documentary (Feature)",1,"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky",NA,"CitizenFour",NA,NA,NA,NA
"2014",87,"Animated Feature Film",1,"Big Hero 6",NA,"Don Hall, Chris Williams and Roy Conli",NA,NA,NA,NA
"2015",88,"Animated Feature Film",1,"Inside Out",NA,"Pete Docter and Jonas Rivera",NA,NA,NA,NA
"2015",88,"Music (Original Song)",1,"Music and Lyric by Jimmy Napes and Sam Smith",NA,"Writing's On The Wall from Spectre",NA,NA,NA,NA
