"Year","Ceremony","Award","Winner","Recipient","Song","Film","IMDBid.x","IMDBid.y","ItemYear","ItemRuntime"
"1953",26,"Art Direction (Black and White)",1,"Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Hugh Hunt",NA,"Julius Caesar",NA,"tt0045943","1953","120 min"
"1953",26,"Music (Music Score of a Dramatic or Comedy Picture)",1,"Bronislau Kaper",NA,"Lili",NA,"tt0046000","1953","81 min"
"1953",26,"Actress",1,"Audrey Hepburn",NA,"Roman Holiday",NA,"tt0046250","1953","118 min"
"1953",26,"Costume Design (Black and White)",1,"Edith Head",NA,"Roman Holiday",NA,"tt0046250","1953","118 min"
"1953",26,"Writing (Motion Picture Story)",1,"Dalton Trumbo",NA,"Roman Holiday",NA,"tt0046250","1953","118 min"
"1953",26,"Cinematography (Color)",1,"Loyal Griggs",NA,"Shane",NA,"tt0046303","1953","118 min"
"1953",26,"Actor",1,"William Holden",NA,"Stalag 17",NA,"tt0046359","1953","120 min"
"1953",26,"Documentary (Short Subject)",1,"Walt Disney, Producer",NA,"The Alaskan Eskimo",NA,"tt0045485","1953","27 min"
"1953",26,"Documentary (Feature)",1,"Walt Disney, Producer",NA,"The Living Desert",NA,"tt0046008","1953","69 min"
"1953",26,"Short Subject (One Reel)",1,"Johnny Green, Producer",NA,"The Merry Wives of Windsor Overture",NA,NA,NA,NA
"1953",26,"Art Direction (Color)",1,"Art Direction: Lyle Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Paul S. Fox",NA,"The Robe",NA,"tt0046247","1953","135 min"
"1953",26,"Costume Design (Color)",1,"Charles LeMaire, Emile Santiago",NA,"The Robe",NA,"tt0046247","1953","135 min"
"1953",26,"Special Effects",1,"Paramount Studio",NA,"The War of the Worlds",NA,"tt0046534","1953","85 min"
"1953",26,"Short Subject (Cartoon)",1,"Walt Disney, Producer",NA,"Toot, Whistle, Plunk and Boom",NA,NA,NA,NA
"1954",27,"Art Direction (Color)",1,"Art Direction: John Meehan; Set Decoration: Emile Kuri",NA,"20,000 Leagues under the Sea",NA,NA,NA,NA
"1954",27,"Special Effects",1,"Walt Disney Studios",NA,"20,000 Leagues under the Sea",NA,NA,NA,NA
"1954",27,"Short Subject (Two Reel)",1,"Denis Sanders and Terry Sanders, Producers",NA,"A Time Out of War",NA,"tt0047587","1954","20 min"
"1954",27,"Writing (Motion Picture Story)",1,"Philip Yordan",NA,"Broken Lance",NA,"tt0046808","1954","96 min"
"1954",27,"Costume Design (Color)",1,"Sanzo Wada",NA,"Gate of Hell",NA,"tt0045935","1953","89 min"
"1954",27,"Honorary Foreign Language Film Award",1,NA,NA,"Gate of Hell",NA,"tt0045935","1953","89 min"
"1954",27,"Costume Design (Black and White)",1,"Edith Head",NA,"Sabrina",NA,"tt0047437","1954","113 min"
"1954",27,"Music (Scoring of a Musical Picture)",1,"Adolph Deutsch, Saul Chaplin",NA,"Seven Brides for Seven Brothers",NA,"tt0047472","1954","102 min"
"1954",27,"Actor in a Supporting Role",1,"Edmond O'Brien",NA,"The Barefoot Contessa",NA,"tt0046754","1954","128 min"
"1954",27,"Actress",1,"Grace Kelly",NA,"The Country Girl",NA,"tt0046874","1954","104 min"
"1954",27,"Writing (Screenplay)",1,"George Seaton",NA,"The Country Girl",NA,"tt0046874","1954","104 min"
"1954",27,"Sound Recording",1,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director",NA,"The Glenn Miller Story",NA,"tt0047030","1954","115 min"
"1954",27,"Music (Music Score of a Dramatic or Comedy Picture)",1,"Dimitri Tiomkin",NA,"The High and the Mighty",NA,"tt0047086","1954","147 min"
"1954",27,"Honorary Award",1,"Jon Whiteley",NA,"The Little Kidnappers",NA,NA,NA,NA
"1954",27,"Honorary Award",1,"Vincent Winter",NA,"The Little Kidnappers",NA,NA,NA,NA
"1954",27,"Documentary (Feature)",1,"Walt Disney, Producer",NA,"The Vanishing Prairie",NA,"tt0047642","1954","71 min"
"1954",27,"Short Subject (One Reel)",1,"Robert Youngson, Producer",NA,"This Mechanical Age",NA,"tt0047578","1954","10 min"
"1954",27,"Cinematography (Color)",1,"Milton Krasner",NA,"Three Coins in the Fountain",NA,"tt0047580","1954","102 min"
"1954",27,"Music (Song)",1,"Music by Jule Styne; Lyrics by Sammy Cahn","""Three Coins In The Fountain""","Three Coins in the Fountain",NA,"tt0047580","1954","102 min"
"1954",27,"Documentary (Short Subject)",1,"World Wide Pictures and Morse Films",NA,"Thursday's Children",NA,"tt0047585","1954","21 min"
"1954",27,"Short Subject (Cartoon)",1,"Stephen Bosustow, Producer",NA,"When Magoo Flew",NA,"tt0047672","1954","6 min"
"1955",28,"Actress in a Supporting Role",1,"Jo Van Fleet",NA,"East of Eden",NA,"tt0048028","1955","118 min"
"1955",28,"Documentary (Feature)",1,"Nancy Hamilton, Producer",NA,"Helen Keller in Her Story",NA,NA,NA,NA
"1955",28,"Costume Design (Black and White)",1,"Helen Rose",NA,"I'll Cry Tomorrow",NA,"tt0048191","1955","117 min"
"1955",28,"Writing (Story and Screenplay)",1,"William Ludwig, Sonya Levien",NA,"Interrupted Melody",NA,"tt0048210","1955","106 min"
"1955",28,"Costume Design (Color)",1,"Charles LeMaire",NA,"Love Is a Many-Splendored Thing",NA,"tt0048316","1955","102 min"
"1955",28,"Music (Music Score of a Dramatic or Comedy Picture)",1,"Alfred Newman",NA,"Love Is a Many-Splendored Thing",NA,"tt0048316","1955","102 min"
"1955",28,"Music (Song)",1,"Music by Sammy Fain; Lyrics by Paul Francis Webster","""Love Is A Many-Splendored Thing""","Love Is a Many-Splendored Thing",NA,"tt0048316","1955","102 min"
"1955",28,"Writing (Motion Picture Story)",1,"Daniel Fuchs",NA,"Love Me or Leave Me",NA,"tt0048317","1955","122 min"
"1955",28,"Actor",1,"Ernest Borgnine",NA,"Marty",NA,"tt0048356","1955","90 min"
"1955",28,"Best Motion Picture",1,"Harold Hecht, Producer",NA,"Marty",NA,"tt0048356","1955","90 min"
"1955",28,"Directing",1,"Delbert Mann",NA,"Marty",NA,"tt0048356","1955","90 min"
"1955",28,"Writing (Screenplay)",1,"Paddy Chayefsky",NA,"Marty",NA,"tt0048356","1955","90 min"
"1955",28,"Documentary (Short Subject)",1,"Walt Disney, Producer",NA,"Men against the Arctic",NA,NA,NA,NA
"1955",28,"Actor in a Supporting Role",1,"Jack Lemmon",NA,"Mister Roberts",NA,"tt0048380","1955","123 min"
"1955",28,"Honorary Foreign Language Film Award",1,NA,NA,"Samurai, The Legend of Musashi",NA,NA,NA,NA
"1955",28,"Music (Scoring of a Musical Picture)",1,"Robert Russell Bennett, Jay Blackton, Adolph Deutsch",NA,"Oklahoma!",NA,"tt0048445","1955","145 min"
"1955",28,"Sound Recording",1,"Todd-AO Sound Department, Fred Hynes, Sound Director",NA,"Oklahoma!",NA,"tt0048445","1955","145 min"
"1955",28,"Art Direction (Color)",1,"Art Direction: William Flannery, Jo Mielziner; Set Decoration: Robert Priestley",NA,"Picnic",NA,"tt0048491","1955","115 min"
"1955",28,"Film Editing",1,"Charles Nelson, William A. Lyon",NA,"Picnic",NA,"tt0048491","1955","115 min"
"1955",28,"Short Subject (Cartoon)",1,"Edward Selzer, Producer",NA,"Speedy Gonzales",NA,"tt0048649","1955","7 min"
"1955",28,"Short Subject (One Reel)",1,"Edmund Reek, Producer",NA,"Survival City",NA,"tt0048677","1955","20 min"
"1955",28,"Special Effects",1,"Paramount Studio",NA,"The Bridges at Toko-Ri",NA,"tt0046806","1954","102 min"
"1955",28,"Short Subject (Two Reel)",1,"Wilbur T. Blume, Producer",NA,"The Face of Lincoln",NA,"tt0048049","1956","20 min"
"1955",28,"Actress",1,"Anna Magnani",NA,"The Rose Tattoo",NA,"tt0048563","1955","117 min"
"1955",28,"Art Direction (Black and White)",1,"Art Direction: Hal Pereira, Tambi Larsen; Set Decoration: Sam Comer, Arthur Krams",NA,"The Rose Tattoo",NA,"tt0048563","1955","117 min"
"1955",28,"Cinematography (Black and White)",1,"James Wong Howe",NA,"The Rose Tattoo",NA,"tt0048563","1955","117 min"
"1955",28,"Cinematography (Color)",1,"Robert Burks",NA,"To Catch a Thief",NA,"tt0048728","1955","106 min"
"1956",29,"Actress",1,"Ingrid Bergman",NA,"Anastasia",NA,"tt0048947","1956","105 min"
"1956",29,"Short Subject (One Reel)",1,"Konstantin Kalser, Producer",NA,"Crashing the Water Barrier",NA,"tt0049102","1956","9 min"
"1956",29,"Directing",1,"George Stevens",NA,"Giant",NA,"tt0049261","1956","201 min"
"1956",29,"Foreign Language Film",1,"Italy; Dino De Laurentiis and Carlo Ponti, Producers",NA,"La Strada",NA,"tt0047528","1954","108 min"
"1956",29,"Actor in a Supporting Role",1,"Anthony Quinn",NA,"Lust for Life",NA,"tt0049456","1956","122 min"
"1956",29,"Short Subject (Cartoon)",1,"Stephen Bosustow, Producer",NA,"Mister Magoo's Puddle Jumper",NA,NA,NA,NA
"1956",29,"Art Direction (Black and White)",1,"Art Direction: Cedric Gibbons, Malcolm F. Brown; Set Decoration: Edwin B. Willis, F. Keogh Gleason",NA,"Somebody Up There Likes Me",NA,"tt0049778","1956","113 min"
"1956",29,"Cinematography (Black and White)",1,"Joseph Ruttenberg",NA,"Somebody Up There Likes Me",NA,"tt0049778","1956","113 min"
"1956",29,"Short Subject (Two Reel)",1,"Romulus Films",NA,"The Bespoke Overcoat",NA,"tt0049000","1955","36 min"
"1956",29,"Writing (Motion Picture Story)",1,"Dalton Trumbo",NA,"The Brave One",NA,"tt0049030","1956","100 min"
"1956",29,"Actor",1,"Yul Brynner",NA,"The King and I",NA,"tt0049408","1956","133 min"
"1956",29,"Art Direction (Color)",1,"Art Direction: Lyle R. Wheeler, John DeCuir; Set Decoration: Walter M. Scott, Paul S. Fox",NA,"The King and I",NA,"tt0049408","1956","133 min"
"1956",29,"Costume Design (Color)",1,"Irene Sharaff",NA,"The King and I",NA,"tt0049408","1956","133 min"
"1956",29,"Music (Scoring of a Musical Picture)",1,"Alfred Newman, Ken Darby",NA,"The King and I",NA,"tt0049408","1956","133 min"
"1956",29,"Sound Recording",1,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director",NA,"The King and I",NA,"tt0049408","1956","133 min"
"1956",29,"Music (Song)",1,"Music and Lyrics by Jay Livingston and Ray Evans","""Whatever Will Be, Will Be (Que Sera, Sera)""","The Man Who Knew Too Much",NA,"tt0049470","1956","120 min"
"1956",29,"Writing (Screenplay, Original)",1,"Albert Lamorisse",NA,"The Red Balloon",NA,"tt0048980","1956","34 min"
"1956",29,"Documentary (Feature)",1,"Jacques-Yves Cousteau, Producer",NA,"The Silent World",NA,"tt0049518","1956","86 min"
"1956",29,"Costume Design (Black and White)",1,"Jean Louis",NA,"The Solid Gold Cadillac",NA,"tt0049777","1956","99 min"
"1956",29,"Special Effects",1,"John Fulton",NA,"The Ten Commandments",NA,"tt0049833","1956","220 min"
"1956",29,"Documentary (Short Subject)",1,"Louis Clyde Stoumen, Producer",NA,"The True Story of the Civil War",NA,"tt0049885","1957","29 min"
"1956",29,"Actress in a Supporting Role",1,"Dorothy Malone",NA,"Written on the Wind",NA,"tt0049966","1956","99 min"
"1957",30,"Documentary (Feature)",1,"Jerome Hill, Producer",NA,"Albert Schweitzer",NA,"tt0050109","1957","85 min"
"1957",30,"Short Subject (Cartoon)",1,"Edward Selzer, Producer",NA,"Birds Anonymous",NA,"tt0050194","1957","7 min"
"1957",30,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"George Wells",NA,"Designing Woman",NA,"tt0050306","1957","118 min"
"1957",30,"Costume Design",1,"Orry-Kelly",NA,"Les Girls",NA,"tt0050631","1957","114 min"
"1957",30,"Actor in a Supporting Role",1,"Red Buttons",NA,"Sayonara",NA,"tt0050933","1957","147 min"
"1957",30,"Actress in a Supporting Role",1,"Miyoshi Umeki",NA,"Sayonara",NA,"tt0050933","1957","147 min"
"1957",30,"Art Direction",1,"Art Direction: Ted Haworth; Set Decoration: Robert Priestley",NA,"Sayonara",NA,"tt0050933","1957","147 min"
"1957",30,"Sound Recording",1,"Warner Brothers Studio Sound Department, George Groves, Sound Director",NA,"Sayonara",NA,"tt0050933","1957","147 min"
"1957",30,"Special Effects",1,"Audible Effects by Walter Rossi",NA,"The Enemy Below",NA,"tt0050356","1957","98 min"
"1957",30,"Music (Song)",1,"Music by James Van Heusen; Lyrics by Sammy Cahn","""All The Way""""All The Way""","The Joker Is Wild",NA,"tt0050569","1957","126 min"
"1957",30,"Foreign Language Film",1,"Italy",NA,"The Nights of Cabiria",NA,NA,NA,NA
"1957",30,"Actress",1,"Joanne Woodward",NA,"The Three Faces of Eve",NA,"tt0051077","1957","91 min"
"1957",30,"Short Subject (Live Action)",1,"Larry Lansburgh, Producer",NA,"The Wetback Hound",NA,"tt0051187","1957","18 min"
"1958",31,"Short Subject (Live Action)",1,"Walt Disney, Producer",NA,"Grand Canyon",NA,"tt0051677","1958","29 min"
"1958",31,"Actress",1,"Susan Hayward",NA,"I Want to Live!",NA,"tt0051758","1958","120 min"
"1958",31,"Short Subject (Cartoon)",1,"John W. Burton, Producer",NA,"Knighty Knight Bugs",NA,"tt0051825","1958","6 min"
"1958",31,"Foreign Language Film",1,"France",NA,"My Uncle",NA,NA,NA,NA
"1958",31,"Actor",1,"David Niven",NA,"Separate Tables",NA,"tt0052182","1958","100 min"
"1958",31,"Actress in a Supporting Role",1,"Wendy Hiller",NA,"Separate Tables",NA,"tt0052182","1958","100 min"
"1958",31,"Sound",1,"Todd-AO Sound Department, Fred Hynes, Sound Director",NA,"South Pacific",NA,"tt0052225","1958","157 min"
"1958",31,"Actor in a Supporting Role",1,"Burl Ives",NA,"The Big Country",NA,"tt0051411","1958","166 min"
"1958",31,"Cinematography (Black and White)",1,"Sam Leavitt",NA,"The Defiant Ones",NA,"tt0051525","1958","96 min"
"1958",31,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"Nedrick Young, Harold Jacob Smith",NA,"The Defiant Ones",NA,"tt0051525","1958","96 min"
"1958",31,"Music (Music Score of a Dramatic or Comedy Picture)",1,"Dimitri Tiomkin",NA,"The Old Man and the Sea",NA,"tt0207639","1999","20 min"
"1958",31,"Music (Music Score of a Dramatic or Comedy Picture)",1,"Dimitri Tiomkin",NA,"The Old Man and the Sea",NA,"tt0052027","1958","86 min"
"1958",31,"Special Effects",1,"Visual Effects by Tom Howard",NA,"tom thumb",NA,NA,NA,NA
"1958",31,"Documentary (Feature)",1,"Ben Sharpsteen, Producer",NA,"White Wilderness",NA,"tt0052389","1958","72 min"
"1959",32,"Music (Song)",1,"Music by James Van Heusen; Lyrics by Sammy Cahn","""High Hopes""","A Hole in the Head",NA,"tt0052896","1959","120 min"
"1959",32,"Foreign Language Film",1,"France",NA,"Black Orpheus",NA,"tt0053146","1959","100 min"
"1959",32,"Documentary (Short Subject)",1,"Bert Haanstra, Producer",NA,"Glass",NA,NA,NA,NA
"1959",32,"Short Subject (Cartoon)",1,"John Hubley, Producer",NA,"Moonbird",NA,"tt0053080","1959","10 min"
"1959",32,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"Story by Russell Rouse, Clarence Greene; Screenplay by Stanley Shapiro, Maurice Richlin",NA,"Pillow Talk",NA,"tt0053172","1959","102 min"
"1959",32,"Music (Scoring of a Musical Picture)",1,"Andre Previn, Ken Darby",NA,"Porgy and Bess",NA,"tt0053182","1959","138 min"
"1959",32,"Actress",1,"Simone Signoret",NA,"Room at the Top",NA,"tt0053226","1959","115 min"
"1959",32,"Writing (Screenplay, Based on Material from Another Medium)",1,"Neil Paterson",NA,"Room at the Top",NA,"tt0053226","1959","115 min"
"1959",32,"Documentary (Feature)",1,"Bernhard Grzimek, Producer",NA,"Serengeti Shall Not Die",NA,NA,NA,NA
"1959",32,"Costume Design (Black and White)",1,"Orry-Kelly",NA,"Some Like It Hot",NA,"tt0053291","1959","121 min"
"1959",32,"Actress in a Supporting Role",1,"Shelley Winters",NA,"The Diary of Anne Frank",NA,"tt0052738","1959","180 min"
"1959",32,"Art Direction (Black and White)",1,"Art Direction: Lyle R. Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Stuart A. Reiss",NA,"The Diary of Anne Frank",NA,"tt0052738","1959","180 min"
"1959",32,"Cinematography (Black and White)",1,"William C. Mellor",NA,"The Diary of Anne Frank",NA,"tt0052738","1959","180 min"
"1959",32,"Short Subject (Live Action)",1,"Jacques-Yves Cousteau, Producer",NA,"The Golden Fish",NA,"tt0052855","1959","19 min"
"1960",33,"Actress",1,"Elizabeth Taylor",NA,"Butterfield 8",NA,NA,NA,NA
"1960",33,"Short Subject (Live Action)",1,"Ezra R. Baker, Producer",NA,"Day of the Painter",NA,"tt0053753","1960","15 min"
"1960",33,"Actor",1,"Burt Lancaster",NA,"Elmer Gantry",NA,"tt0053793","1960","146 min"
"1960",33,"Actress in a Supporting Role",1,"Shirley Jones",NA,"Elmer Gantry",NA,"tt0053793","1960","146 min"
"1960",33,"Writing (Screenplay, Based on Material from Another Medium)",1,"Richard Brooks",NA,"Elmer Gantry",NA,"tt0053793","1960","146 min"
"1960",33,"Music (Music Score of a Dramatic or Comedy Picture)",1,"Ernest Gold",NA,"Exodus",NA,"tt0053804","1960","208 min"
"1960",33,"Documentary (Short Subject)",1,"James Hill, Producer",NA,"Giuseppina",NA,"tt0053866","1960","32 min"
"1960",33,"Short Subject (Cartoon)",1,"William L. Snyder, Producer",NA,"Munro",NA,"tt0054100","1961","9 min"
"1960",33,"Music (Song)",1,"Music and Lyrics by Manos Hadjidakis","""Never On Sunday""","Never on Sunday",NA,"tt0054198","1960","97 min"
"1960",33,"Honorary Award",1,"Hayley Mills",NA,"Pollyanna",NA,NA,NA,NA
"1960",33,"Music (Scoring of a Musical Picture)",1,"Morris Stoloff, Harry Sukman",NA,"Song without End (The Story of Franz Liszt)",NA,NA,NA,NA
"1960",33,"Cinematography (Black and White)",1,"Freddie Francis",NA,"Sons and Lovers",NA,"tt0054326","1960","103 min"
"1960",33,"Sound",1,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",NA,"The Alamo",NA,"tt0053580","1960","162 min"
"1960",33,"Costume Design (Black and White)",1,"Edith Head, Edward Stevenson",NA,"The Facts of Life",NA,"tt0053810","1960","103 min"
"1960",33,"Documentary (Feature)",1,"Larry Lansburgh, Producer",NA,"The Horse with the Flying Tail",NA,"tt0054993","1960","48 min"
"1960",33,"Special Effects",1,"Visual Effects by Gene Warren, Tim Baar",NA,"The Time Machine",NA,"tt0054387","1960","103 min"
"1960",33,"Foreign Language Film",1,"Sweden",NA,"The Virgin Spring",NA,"tt0053976","1960","89 min"
"1961",34,"Honorary Award",1,"William L. Hendricks",NA,"A Force in Readiness",NA,NA,NA,NA
"1961",34,"Music (Music Score of a Dramatic or Comedy Picture)",1,"Henry Mancini",NA,"Breakfast at Tiffany's",NA,"tt0054698","1961","115 min"
"1961",34,"Music (Song)",1,"Music by Henry Mancini; Lyrics by Johnny Mercer","""Moon River""","Breakfast at Tiffany's",NA,"tt0054698","1961","115 min"
"1961",34,"Short Subject (Cartoon)",1,"Zagreb Film",NA,"Ersatz (The Substitute)",NA,NA,NA,NA
"1961",34,"Actor",1,"Maximilian Schell",NA,"Judgment at Nuremberg",NA,"tt0055031","1961","179 min"
"1961",34,"Writing (Screenplay, Based on Material from Another Medium)",1,"Abby Mann",NA,"Judgment at Nuremberg",NA,"tt0055031","1961","179 min"
"1961",34,"Costume Design (Black and White)",1,"Piero Gherardi",NA,"La Dolce Vita",NA,NA,NA,NA
"1961",34,"Documentary (Feature)",1,"Arthur Cohn and Rene Lafuite, Producers",NA,"Le Ciel et la Boue (Sky Above and Mud Beneath)",NA,NA,NA,NA
"1961",34,"Documentary (Short Subject)",1,"Frank P. Bibas, Producer",NA,"Project Hope",NA,"tt0055333","1961","30 min"
"1961",34,"Short Subject (Live Action)",1,"Templar Film Studios",NA,"Seawards the Great Ships",NA,"tt0055420","1961","28 min"
"1961",34,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"William Inge",NA,"Splendor in the Grass",NA,"tt0055471","1961","124 min"
"1961",34,"Special Effects",1,"Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham",NA,"The Guns of Navarone",NA,"tt0054953","1961","158 min"
"1961",34,"Art Direction (Black and White)",1,"Art Direction: Harry Horner; Set Decoration: Gene Callahan",NA,"The Hustler",NA,"tt0054997","1961","134 min"
"1961",34,"Cinematography (Black and White)",1,"Eugen Shuftan",NA,"The Hustler",NA,"tt0054997","1961","134 min"
"1961",34,"Foreign Language Film",1,"Sweden",NA,"Through a Glass Darkly",NA,"tt0055499","1961","90 min"
"1961",34,"Actress",1,"Sophia Loren",NA,"Two Women",NA,"tt0054749","1960","101 min"
"1962",35,"Documentary (Feature)",1,"Louis Clyde Stoumen, Producer",NA,"Black Fox",NA,NA,NA,NA
"1962",35,"Music (Song)",1,"Music by Henry Mancini; Lyrics by Johnny Mercer","""Days Of Wine And Roses""","Days of Wine and Roses",NA,"tt0055895","1962","117 min"
"1962",35,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"Ennio de Concini, Alfredo Giannetti, Pietro Germi",NA,"Divorce--Italian Style",NA,NA,NA,NA
"1962",35,"Documentary (Short Subject)",1,"Jack Howells, Producer",NA,"Dylan Thomas",NA,NA,NA,NA
"1962",35,"Short Subject (Live Action)",1,"Pierre Etaix and J.C. Carrière, Producers",NA,"Heureux Anniversaire (Happy Anniversary)",NA,NA,NA,NA
"1962",35,"Music (Scoring of Music, Adaptation or Treatment)",1,"Ray Heindorf",NA,"Meredith Willson's The Music Man",NA,NA,NA,NA
"1962",35,"Foreign Language Film",1,"France",NA,"Sundays and Cybele",NA,NA,NA,NA
"1962",35,"Actor in a Supporting Role",1,"Ed Begley",NA,"Sweet Bird of Youth",NA,"tt0056541","1962","120 min"
"1962",35,"Short Subject (Cartoon)",1,"John Hubley and Faith Hubley, Producers",NA,"The Hole",NA,"tt0056075","1962","15 min"
"1962",35,"Cinematography (Black and White)",1,"Jean Bourgoin, Walter Wottitz, (Henri Persin)",NA,"The Longest Day",NA,"tt0056197","1962","178 min"
"1962",35,"Special Effects",1,"Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont",NA,"The Longest Day",NA,"tt0056197","1962","178 min"
"1962",35,"Actress",1,"Anne Bancroft",NA,"The Miracle Worker",NA,"tt0056241","1962","106 min"
"1962",35,"Actress in a Supporting Role",1,"Patty Duke",NA,"The Miracle Worker",NA,"tt0056241","1962","106 min"
"1962",35,"Costume Design (Color)",1,"Mary Wills",NA,"The Wonderful World of the Brothers Grimm",NA,"tt0056700","1962","135 min"
"1962",35,"Actor",1,"Gregory Peck",NA,"To Kill a Mockingbird",NA,"tt0056592","1962","129 min"
"1962",35,"Art Direction (Black and White)",1,"Art Direction: Alexander Golitzen, Henry Bumstead; Set Decoration: Oliver Emert",NA,"To Kill a Mockingbird",NA,"tt0056592","1962","129 min"
"1962",35,"Writing (Screenplay, Based on Material from Another Medium)",1,"Horton Foote",NA,"To Kill a Mockingbird",NA,"tt0056592","1962","129 min"
"1962",35,"Costume Design (Black and White)",1,"Norma Koch",NA,"What Ever Happened to Baby Jane?",NA,"tt0056687","1962","134 min"
"1963",36,"Short Subject (Live Action)",1,"Paul de Roubaix and Marcel Ichac, Producers",NA,"An Occurrence at Owl Creek Bridge",NA,NA,NA,NA
"1963",36,"Documentary (Short Subject)",1,"Simon Schiffrin, Producer",NA,"Chagall",NA,"tt0056920","1963","25 min"
"1963",36,"Art Direction (Color)",1,"Art Direction: John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga; Set Decoration: Walter M. Scott, Paul S. Fox, Ray Moyer",NA,"Cleopatra",NA,"tt0056937","1963","192 min"
"1963",36,"Art Direction (Color)",1,"Art Direction: John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga; Set Decoration: Walter M. Scott, Paul S. Fox, Ray Moyer",NA,"Cleopatra",NA,"tt0024991","1934","100 min"
"1963",36,"Cinematography (Color)",1,"Leon Shamroy",NA,"Cleopatra",NA,"tt0056937","1963","192 min"
"1963",36,"Cinematography (Color)",1,"Leon Shamroy",NA,"Cleopatra",NA,"tt0024991","1934","100 min"
"1963",36,"Costume Design (Color)",1,"Irene Sharaff, Vittorio Nino Novarese, Renie",NA,"Cleopatra",NA,"tt0056937","1963","192 min"
"1963",36,"Costume Design (Color)",1,"Irene Sharaff, Vittorio Nino Novarese, Renie",NA,"Cleopatra",NA,"tt0024991","1934","100 min"
"1963",36,"Special Effects",1,"Emil Kosa, Jr.",NA,"Cleopatra",NA,"tt0056937","1963","192 min"
"1963",36,"Special Effects",1,"Emil Kosa, Jr.",NA,"Cleopatra",NA,"tt0024991","1934","100 min"
"1963",36,"Costume Design (Black and White)",1,"Piero Gherardi",NA,"Federico Fellini's 8-1/2",NA,NA,NA,NA
"1963",36,"Foreign Language Film",1,"Italy",NA,"Federico Fellini's 8-1/2",NA,NA,NA,NA
"1963",36,"Film Editing",1,"Harold F. Kress",NA,"How the West Was Won",NA,"tt0056085","1962","164 min"
"1963",36,"Sound",1,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",NA,"How the West Was Won",NA,"tt0056085","1962","164 min"
"1963",36,"Writing (Story and Screenplay, Written Directly for the Screen)",1,"James R. Webb",NA,"How the West Was Won",NA,"tt0056085","1962","164 min"
"1963",36,"Actor in a Supporting Role",1,"Melvyn Douglas",NA,"Hud",NA,"tt0057163","1963","112 min"
"1963",36,"Actress",1,"Patricia Neal",NA,"Hud",NA,"tt0057163","1963","112 min"
"1963",36,"Cinematography (Black and White)",1,"James Wong Howe",NA,"Hud",NA,"tt0057163","1963","112 min"
"1963",36,"Music (Scoring of Music, Adaptation or Treatment)",1,"Andre Previn",NA,"Irma La Douce",NA,NA,NA,NA
"1963",36,"Sound Effects",1,"Walter G. Elliott",NA,"It's a Mad, Mad, Mad, Mad World",NA,NA,NA,NA
"1963",36,"Actor",1,"Sidney Poitier",NA,"Lilies of the Field",NA,"tt0057251","1963","94 min"
"1963",36,"Music (Song)",1,"Music by James Van Heusen; Lyrics by Sammy Cahn","""Call Me Irresponsible""","Papa's Delicate Condition",NA,"tt0057400","1963","98 min"
"1963",36,"Documentary (Feature)",1,"Robert Hughes, Producer",NA,"Robert Frost: A Lover's Quarrel with the World",NA,"tt0057459","1963","41 min"
"1963",36,"Short Subject (Cartoon)",1,"Ernest Pintoff, Producer",NA,"The Critic",NA,"tt0056965","1963","4 min"
"1963",36,"Actress in a Supporting Role",1,"Margaret Rutherford",NA,"The V.I.P.s",NA,"tt0057634","1963","119 min"
"1963",36,"Best Picture",1,"Tony Richardson, Producer",NA,"Tom Jones",NA,"tt0057590","1963","129 min"
"1963",36,"Directing",1,"Tony Richardson",NA,"Tom Jones",NA,"tt0057590","1963","129 min"
"1963",36,"Music (Music Score, Substantially Original)",1,"John Addison",NA,"Tom Jones",NA,"tt0057590","1963","129 min"
"1963",36,"Writing (Screenplay, Based on Material from Another Medium)",1,"John Osborne",NA,"Tom Jones",NA,"tt0057590","1963","129 min"
"1964",37,"Honorary Award",1,"William Tuttle",NA,"7 Faces of Dr. Lao",NA,NA,NA,NA
"1964",37,"Writing (Screenplay, Based on Material from Another Medium)",1,"Edward Anhalt",NA,"Becket",NA,"tt0057877","1964","148 min"
"1964",37,"Short Subject (Live Action)",1,"Edward Schreiber, Producer",NA,"Casals Conducts: 1964",NA,"tt0057922","1964","20 min"
